W726_01,W726_02,W726_03,CommAvg,W729_02,W729_04,EngageAvg,W727_01,W727_02,W727_03,InnoAvg,W727_04,W727_05,W727_06,ConAvg,W727_07,W727_08,W727_09,HiaAvg,W727_10,W727_11,W727_12,AbiAvg
2,2,3,2.333333333,4,3,3.5,3,2,3,2.666666667,3,3,3,3,3,4,4,3.666666667,3,3,3,3
2,2,3,2.333333333,4,3,3.5,3,1,1,1.666666667,3,3,3,3,3,4,4,3.666666667,2,2,1,1.666666667
1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,3,4,3.5,2,3,3,2.666666667,2,3,3,2.666666667,2,2,3,2.333333333,2,3,3,2.666666667
4,4,3,3.666666667,5,4,4.5,3,2,2,2.333333333,4,4,4,4,4,4,4,4,4,4,2,3.333333333
2,2,2,2,4,3,3.5,2,2,2,2,2,2,2,2,3,3,4,3.333333333,3,3,3,3
4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,3.333333333,4,3,3.5,2,2,3,2.333333333,3,3,3,3,3,4,4,3.666666667,3,4,2,3
4,3,4,3.666666667,4,3,3.5,4,3,3,3.333333333,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,3.666666667,4,4,4,4,3,2,3,4,4,4,4,5,4,4,4.333333333,3,4,3,3.333333333
4,4,3,3.666666667,4,4,4,4,3,3,3.333333333,3,4,4,3.666666667,4,4,4,4,3,3,3,3
3,3,3,3,4,4,4,2,3,3,2.666666667,3,3,3,3,3,3,3,3,2,3,3,2.666666667
3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3
2,2,2,2,3,4,3.5,3,2,1,2,3,3,3,3,4,4,5,4.333333333,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,4,3,4,3.666666667,4,4,4,4,3,3,3,3
3,3,4,3.333333333,3,2,2.5,2,2,2,2,3,2,3,2.666666667,3,4,4,3.666666667,2,3,3,2.666666667
2,2,2,2,3,3,3,2,2,2,2,3,4,4,3.666666667,3,3,4,3.333333333,3,2,2,2.333333333
3,3,3,3,4,3,3.5,3,2,2,2.333333333,3,3,3,3,4,4,4,4,4,4,3,3.666666667
2,2,2,2,3,4,3.5,3,2,1,2,3,3,3,3,4,4,5,4.333333333,3,3,3,3
2,4,2,2.666666667,4,3,3.5,2,2,2,2,3,3,3,3,4,3,4,3.666666667,3,3,3,3
