TrainHour,PeopleAvg,SatisAvg,W725_01,W725_02,W725_03,W725_04,W728_01,W728_02,W728_03,W728_04,C7_SCALE,W7_sex,W7_birthy,W7_birthm,W7_marr,W7_edu,W7_affil
35,3.25,3.25,3,3,4,3,2,4,4,3,3,1,87,1,1,6,2
35,5,4,5,5,5,5,4,4,4,4,3,1,85,2,2,6,2
35,4.25,5,4,4,5,4,5,5,5,5,3,2,89,8,1,6,2
35,4.75,4.25,4,5,5,5,4,4,4,5,3,2,77,11,2,6,2
35,4.5,4,4,4,5,5,4,4,4,4,3,2,85,7,2,6,2
35,3.75,5,4,4,3,4,5,5,5,5,3,1,69,4,2,7,1
35,2.5,4.5,4,2,2,2,4,5,5,4,3,2,79,5,2,6,4
35,4,4,4,4,4,4,4,4,4,4,3,1,86,3,2,6,1
35,3.75,4,4,4,3,4,4,4,4,4,3,1,76,9,2,6,2
35,3.75,3.75,4,4,4,3,4,3,4,4,3,1,85,4,2,6,3
150,4,5,4,4,4,4,5,5,5,5,4,1,79,11,2,7,2
150,4,4.75,4,4,4,4,5,4,5,5,4,1,82,5,1,6,2
150,5,5,5,5,5,5,5,5,5,5,4,1,69,6,2,6,1
150,4.25,5,4,4,4,5,5,5,5,5,4,1,84,1,2,6,2
150,4.25,4.5,4,4,4,5,5,4,5,4,4,2,84,11,1,6,4
150,4,4,4,4,4,4,4,4,4,4,4,1,81,12,1,6,3
150,4,5,4,4,4,4,5,5,5,5,4,1,73,6,2,4,
150,5,5,5,5,5,5,5,5,5,5,4,2,67,2,2,5,1
150,4,2.75,4,4,4,4,3,2,3,3,4,2,86,4,1,5,1
150,3.75,3.75,4,3,4,4,4,3,4,4,4,2,82,9,1,6,2
150,3.5,4,4,4,3,3,4,4,4,4,4,1,69,10,2,8,2
150,4,4,4,4,4,4,4,4,4,4,4,2,77,2,1,6,2
150,4,3.75,4,4,4,4,5,2,4,4,4,2,82,4,2,6,2
150,3.5,4,3,3,4,4,4,4,4,4,4,1,80,2,1,7,1
150,4,3.75,4,4,4,4,4,3,4,4,4,2,78,7,1,6,4
150,3.75,5,3,4,5,3,5,5,5,5,4,1,74,2,2,6,2
150,5,4,5,5,5,5,4,4,4,4,4,1,84,3,1,6,3
150,5,4.5,5,5,5,5,4,4,5,5,4,1,87,9,1,6,1
150,5,4,5,5,5,5,4,4,4,4,4,1,70,10,2,6,2
150,4,4,4,4,4,4,4,4,4,4,4,1,72,7,2,6,2
150,3.75,4,3,4,4,4,4,4,4,4,4,1,73,11,2,7,1
150,4.5,3,4,5,5,4,3,3,3,3,4,1,86,11,2,6,1
150,4.75,5,4,5,5,5,5,5,5,5,4,1,83,10,2,6,1
