W7_id1,W7_id2,W7_id3,W7_id4,W7_ind1,W7_team,W7_posit,W701_01,W701_02,W702_01,W702_02,W703_01,W703_02,W704,W705_01,W705_02,W706_01,W706_02,W706_03,W706_04,W706_05,W706_06,W706_07,W706_08,W707,W708_01,W708_02,W708_03,W708_04,W708_05,W708_06,W708_07,W708_08,W708_09,W708_10,W708_11,W708_12,W708_13,W708_14,W708_15,W709_01,W709_02,W709_03,W709_04,W709_05,W709_06,W709_07,W709_08,W710_01,W710_02,W710_03,W710_04,W710_05,W710_06,W710_07,W710_08,W710_09,W710_10,W710_11,W710_12,W710_13,W710_14,W711,W712_01,W712_02,W712_03,W712_04,W712_05,W712_06,W713_01,W713_02,W713_03,W713_04,W713_05,W713_06,W713_07,W713_08,W713_09,W713_10,W713_11,W713_12,W713_13,W713_14,W713_15,W713_16,W713_17,W713_18,W713_19,W713_20,W713_21,W713_22,W713_23,W713_24,W714_01,W714_02,W714_03,W714_04,W714_05,W714_06,W714_07,W714_08,W715,W716,W717_01,W717_02,W718,W719_01,W719_02,W719_03,W719_04,W719_05,W719_06,W719_07,W720,W721,W722,W723_01,W723_02,W723_03,W723_04,W723_05,W723_06,W724_01,W724_02,W724_03,W724_04,W724_05,W724_06,W724_07,W724_08,W725_01,W725_02,W725_03,W725_04,W726_01,W726_02,W726_03,W726_04,W726_05,W726_06,W727_01,W727_02,W727_03,W727_04,W727_05,W727_06,W727_07,W727_08,W727_09,W727_10,W727_11,W727_12,W728_01,W728_02,W728_03,W728_04,W729_01,W729_02,W729_03,W729_04,W729_05,W729_06,W729_07,W730_01,W730_02,W730_03,W730_04,W731_01,W731_02,W731_03,W731_04,W731_05,W731_06,W732,W733,W734,W735_01,W735_02,W736_01,W736_02,W7_sex,W7_birthy,W7_birthm,W7_marr,W7_edu,W7_affil,C7_IND1,C7_KSIC1,C7_KSIC2,C7_KSIC3,C7_SCALE,C7_TYPE,C7C01_07_04,C7C01_07_08,C7C01_07_12,C7C01_07_16,C7C01_07_20,C7C01_07_24,C7C01_07_28,C7C01_07_32,C7C02_01_05,C7C02_01_06,C7C02_01_07,C7C02_01_08
1,0,321,0,1,1,1,2011,8,2017,1,1,3,302,2011,8,3,3,3,3,3,2,3,4,3,4,3,4,4,3,4,3,3,4,3,4,3,3,3,4,8,3,4,3,3,,,,1,2,2,,2,,2,,2,,2,,2,,3,3,3,2,3,3,3,3,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,3,2,1,4,3,3,3,4,4,,,,,,,,,3,2,2,3,2,2,3,3,2,4,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,4,,,,,,,,,,,1,,2,40,0,4500,,1,84,2,2,6,2,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,322,0,1,1,1,1993,2,2012,1,1,6,306,2014,11,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,3,3,3,3,2,3,2,8,2,2,2,3,,,,1,2,2,,1,2,2,,2,,2,,2,,2,2,2,2,3,2,4,3,2,2,,2,,2,,2,,2,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,2,2,1,4,4,4,4,3,2,,,,,,,,,3,1,2,1,2,2,3,3,1,2,3,1,1,3,3,3,3,4,4,2,2,1,3,3,2,2,3,4,2,3,4,3,2,,,,,,,,,,,1,,2,40,3,7400,,1,66,4,2,6,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,322,1,1,1,3,1997,2,1997,2,1,1,306,2017,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,,2,,1,1,1,2,1,4,1,1,1,1,1,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,,,2,,,,,,,,5,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,3,3,3,5,4,3,,,,,,,,,,,1,2,2,40,0,5500,,2,78,6,2,7,2,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,322,2,1,1,3,2013,10,2013,10,1,1,306,2013,10,3,3,3,3,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,3,2,,2,,2,,2,,5,2,3,4,3,2,3,2,3,2,,1,3,2,,2,,1,3,1,2,1,2,1,3,2,,2,,1,3,1,2,2,,2,,2,,3,,,,2,,,,,,,,3,1,2,,,,,,,,,,,,,,,2,3,2,4,2,2,2,3,2,3,2,3,3,2,3,3,2,2,3,2,3,3,2,3,2,2,2,3,3,4,3,3,4,,,,,,,,,,,1,2,2,40,12,5000,,1,83,9,2,7,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,401,0,1,1,1,1995,11,2012,1,1,5,401,1996,6,3,4,3,3,3,3,4,4,2,4,4,4,3,5,1,3,4,4,5,4,2,2,4,1,8,4,5,4,5,,,,1,3,1,3,2,,2,,2,,2,,1,4,6,4,5,4,4,4,4,3,3,2,,2,,1,3,2,,2,,2,,1,3,2,,2,,1,4,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,2,2,1,5,5,5,4,4,4,,,,,,,,,3,3,3,3,4,4,3,4,2,3,3,2,2,4,4,4,4,4,4,4,4,2,5,2,3,4,2,5,5,4,4,4,4,,,,,,,,,,,1,,2,40,0,6000,,1,69,6,2,6,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,401,1,1,1,3,2011,11,2017,1,1,3,401,2011,11,4,4,4,5,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,1,3,2,,2,,2,,2,,5,2,2,3,4,4,4,3,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,2,2,3,,,,,,,,,,,,,,,2,1,2,1,2,2,2,4,3,3,2,2,2,2,2,2,3,3,4,3,3,3,3,4,4,3,2,4,1,3,2,3,3,,,,,,,,,,,1,2,2,40,5,5000,,1,83,4,2,7,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,401,2,1,1,3,2016,1,2016,1,1,1,401,2016,1,5,5,5,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,2,,2,,2,,2,,1,2,3,5,5,5,5,5,5,3,3,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,4,3,4,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,2,1,3,,,,,,,,,,,1,2,2,40,4,,358,1,85,8,2,6,1,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,401,3,1,1,3,2002,2,2002,2,1,1,401,2016,12,4,4,4,4,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,,2,,2,,2,,2,,4,3,3,3,3,4,3,2,3,2,,2,,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,2,,,,,,,,2,1,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,3,3,,,,,,,,,,,1,2,1,40,2,5000,,2,79,10,2,6,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,402,0,1,1,1,1995,7,2017,1,1,6,599,2000,1,3,3,3,3,2,2,3,3,1,3,3,4,2,4,2,2,3,3,3,4,3,3,3,3,8,2,4,4,4,,,,1,3,1,3,1,4,2,,2,,2,,1,3,5,5,4,3,4,4,4,3,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,2,,1,,,,1,19,1010,13,2002,2,3,4,2,2,1,5,5,4,5,5,5,,,,,,,,,3,3,3,2,3,4,3,3,3,3,2,2,3,3,3,3,3,4,4,3,4,2,4,4,5,4,4,4,2,3,5,4,4,,,,,,,,,,,1,,2,40,0,6378,,1,69,12,2,6,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
1,0,402,1,1,1,3,2012,8,2012,8,1,1,599,2012,8,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,2,,2,,2,,2,,1,3,7,5,5,3,4,4,4,4,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,1,3,2,,2,,2,,3,,,,1,11,5030,19,2015,2,3,4,2,3,2,,,,,,,,,,,,,,,4,3,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,2,2,,,,,,,,,,,1,2,2,40,6,5000,,1,80,9,2,6,3,1,C,20,201,1,1,0,1,0,0,0,0,0,0,12029,1,0,1
